Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other
29,0.000314,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
30,0.000374,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
31,0.000394,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
32,0.000482,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
33,0.000500,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
34,0.000545,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
35,0.000586,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
36,0.000655,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
37,0.000738,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
38,0.000720,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
39,0.000846,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
40,0.000883,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
41,0.000993,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
42,0.001052,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
43,0.001183,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
44,0.001329,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
45,0.001437,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
46,0.001541,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
47,0.001701,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
48,0.001825,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
49,0.001937,0.135826771653543,0,0,0,0,0.421916010498688,0.0813648293963255,0,0.0757874015748032,0,0,0.118438320209974,0.166666666666667,0
50,0.002138,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
51,0.002366,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
52,0.002584,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
53,0.002759,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
54,0.002956,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
55,0.003270,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
56,0.003627,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
57,0.003903,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
58,0.004334,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
59,0.004741,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
60,0.005117,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
