Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other,,,,,,,
75,0.032876,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
76,0.036476,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
77,0.040614,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
78,0.044747,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
79,0.049890,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
80,0.055981,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
81,0.062895,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
82,0.070126,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
83,0.079964,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
84,0.090260,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
85,0.100929,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
86,0.114589,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
87,0.128256,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
88,0.145079,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
89,0.163470,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
90,0.179272,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
91,0.199555,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
92,0.222603,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
93,0.246316,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
94,0.271142,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
95,0.302417,0,0,0.115997996412933,0.137746610867844,0.297419573753009,0.0971739727576791,0.23173746546236,0,0.119924380746175,0,0,0,0,0,,,,,,,
